Fold,Train_End_Index,Test_Start_Index,Test_End_Index,n,rmse,mae,f1,accuracy,naive_n,naive_rmse,naive_mae,naive_f1,naive_accuracy,Horizon,Feature_Set,Feature_Count
8,1312,1312,1372,60,0.12751749820173444,0.10474705095413345,0.14634146341463414,0.4166666666666667,60,0.06893257921536863,0.05966587902030831,0.0,0.6833333333333333,7,market_only,61
9,1372,1372,1432,60,0.0824785756388806,0.06969200803045096,0.5151515151515151,0.4666666666666667,60,0.03960844187763132,0.03191876104718154,0.0,0.43333333333333335,7,market_only,61
10,1432,1432,1487,55,0.1078181865573617,0.09347962709534961,0.3181818181818182,0.45454545454545453,55,0.07364873296251262,0.05344320660132335,0.0,0.6181818181818182,7,market_only,61
1,892,892,952,60,0.1242197359274757,0.09202636522109607,0.576271186440678,0.5833333333333334,60,0.07265768240196784,0.05929359063016463,0.0,0.48333333333333334,7,market_plus_google_trends,78
2,952,952,1012,60,0.15173713854626805,0.12444672951598491,0.6571428571428571,0.6,60,0.09324083731893384,0.06752109517239109,0.0,0.2833333333333333,7,market_plus_google_trends,78
3,1012,1012,1072,60,0.30703052200337816,0.2750874901535927,0.0,0.4,60,0.049957301202261536,0.040283958089603014,0.0,0.4166666666666667,7,market_plus_google_trends,78
4,1072,1072,1132,60,0.28788354141927597,0.2441225651493077,0.5974025974025974,0.48333333333333334,60,0.054082881268763025,0.03966137020837991,0.0,0.6166666666666667,7,market_plus_google_trends,78
5,1132,1132,1192,60,0.22503111467369963,0.18085023206036957,0.7472527472527473,0.6166666666666667,60,0.05802074363680722,0.04573115956637592,0.0,0.25,7,market_plus_google_trends,78
6,1192,1192,1252,60,0.15634285771864717,0.13729216810640907,0.24,0.36666666666666664,60,0.03891648277247503,0.03001503706256682,0.0,0.4,7,market_plus_google_trends,78
7,1252,1252,1312,60,0.11594272285055732,0.09399273670005291,0.56,0.6333333333333333,60,0.033580091675743905,0.02722292160425135,0.0,0.5166666666666667,7,market_plus_google_trends,78
8,1312,1312,1372,60,0.1347845446346913,0.10710357142012847,0.10526315789473684,0.43333333333333335,60,0.06893257921536863,0.05966587902030831,0.0,0.6833333333333333,7,market_plus_google_trends,78
9,1372,1372,1432,60,0.08124028719513222,0.06544563051736349,0.6031746031746031,0.5833333333333334,60,0.03960844187763132,0.03191876104718154,0.0,0.43333333333333335,7,market_plus_google_trends,78
10,1432,1432,1487,55,0.11351865591796322,0.09363184489660574,0.5882352941176471,0.4909090909090909,55,0.07364873296251262,0.05344320660132335,0.0,0.6181818181818182,7,market_plus_google_trends,78
1,892,892,952,60,0.15924213182557648,0.12508626873934323,0.49056603773584906,0.55,60,0.07265768240196784,0.05929359063016463,0.0,0.48333333333333334,7,market_plus_llm_news,158
2,952,952,1012,60,0.14598597536991978,0.11182833746134967,0.8571428571428571,0.7833333333333333,60,0.09324083731893384,0.06752109517239109,0.0,0.2833333333333333,7,market_plus_llm_news,158
3,1012,1012,1072,60,0.37169708916024,0.32043687421542383,0.5283018867924528,0.5833333333333334,60,0.049957301202261536,0.040283958089603014,0.0,0.4166666666666667,7,market_plus_llm_news,158
4,1072,1072,1132,60,0.13290509637417877,0.10575364185772836,0.43137254901960786,0.5166666666666667,60,0.054082881268763025,0.03966137020837991,0.0,0.6166666666666667,7,market_plus_llm_news,158
5,1132,1132,1192,60,0.12983344719364154,0.09662104420475187,0.631578947368421,0.5333333333333333,60,0.05802074363680722,0.04573115956637592,0.0,0.25,7,market_plus_llm_news,158
6,1192,1192,1252,60,0.16162476831934788,0.12242796760750109,0.38596491228070173,0.4166666666666667,60,0.03891648277247503,0.03001503706256682,0.0,0.4,7,market_plus_llm_news,158
7,1252,1252,1312,60,0.147971738259431,0.12325524400165884,0.39215686274509803,0.48333333333333334,60,0.033580091675743905,0.02722292160425135,0.0,0.5166666666666667,7,market_plus_llm_news,158
8,1312,1312,1372,60,0.1537469427932816,0.12460045635625652,0.2702702702702703,0.55,60,0.06893257921536863,0.05966587902030831,0.0,0.6833333333333333,7,market_plus_llm_news,158
9,1372,1372,1432,60,0.09148933786156824,0.07374006285016524,0.5151515151515151,0.4666666666666667,60,0.03960844187763132,0.03191876104718154,0.0,0.43333333333333335,7,market_plus_llm_news,158
